,CustomerId,Surname,Credit Score,Geography,Gender,Age,Tenure,Estimated Salary,Account Balance,NumOfProducts,Has Credit Card,Active Members,Exited,Number of Product Category
0,15634602,Hargrave,619,France,Female,42,2,101348.88,0.0,1,1,1,1,Low
2,15647311,Hill,608,Spain,Female,41,1,112542.58,83807.86,1,1,1,0,Low
3,15619304,Onio,502,France,Female,42,8,113931.57,159660.8,3,0,0,1,High
4,15701354,Boni,699,France,Female,39,1,93826.63,0.0,2,0,0,0,Medium
5,15737888,Mitchell,850,Spain,Female,43,2,79084.1,125510.82,1,1,1,0,Low
6,15574012,Chu,645,Spain,Male,44,8,149756.71,113755.78,2,0,0,1,Medium
7,15592531,Bartlett,822,France,Male,50,7,10062.8,0.0,2,1,1,0,Medium
8,15656148,Obinna,376,Germany,Female,29,4,119346.88,115046.74,4,0,0,1,High
9,15792365,Incomplete,501,France,Male,44,4,74940.5,142051.07,2,1,1,0,Medium
10,15592389,Incomplete,684,France,Male,27,2,71725.73,134603.88,1,1,1,0,Low
11,15767821,Bearce,528,France,Male,31,6,80181.12,102016.72,2,0,0,0,Medium
12,15737173,Andrews,497,Spain,Male,24,3,76390.01,0.0,2,0,0,0,Medium
13,15632264,Kay,476,France,Female,34,10,26260.98,0.0,2,0,0,0,Medium
14,15691483,Chin,549,France,Female,25,5,190857.79,0.0,2,0,0,0,Medium
15,15600882,Scott,635,Spain,Female,35,7,65951.65,0.0,2,1,1,0,Medium
16,15643966,Goforth,616,Germany,Male,45,3,64327.26,143129.41,2,1,1,0,Medium
17,15737452,Romeo,653,Germany,Male,58,1,5097.67,132602.88,1,0,0,1,Low
18,15788218,Henderson,549,Spain,Female,24,9,14406.41,0.0,2,1,1,0,Medium
19,15661507,Muldrow,587,Spain,Male,45,6,158684.81,0.0,1,0,0,0,Low
20,15568982,Hao,726,France,Female,24,6,54724.03,0.0,2,1,1,0,Medium
21,15577657,Mcdonald,732,France,Male,41,8,170886.17,0.0,2,1,1,0,Medium
22,15597945,Dellucci,636,Spain,Female,32,8,138555.46,0.0,2,0,0,0,Medium
23,15699309,Gerasimov,510,Spain,Female,38,4,118913.53,0.0,1,0,0,1,Low
24,15725737,Mosman,669,France,Male,46,3,8487.75,0.0,2,1,1,0,Medium
25,15625047,Yen,846,France,Female,38,5,187616.16,0.0,1,1,1,0,Low
26,15738191,Maclean,577,France,Male,25,3,124508.29,0.0,2,1,1,0,Medium
27,15736816,Young,756,Germany,Male,36,2,170041.95,136815.64,1,1,1,0,Low
28,15700772,Nebechi,571,France,Male,44,9,38433.35,0.0,2,0,0,0,Medium
29,15728693,Unknown,574,Germany,Female,38,3,-999999.0,141349.43,1,1,1,0,Low
30,15656300,Lucciano,411,France,Male,29,0,53483.21,59697.17,2,1,1,0,Medium
31,15589475,Azikiwe,591,Spain,Female,39,3,140469.38,0.0,3,0,0,1,High
32,15706552,Odinakachukwu,533,France,Male,36,7,156731.91,85311.7,1,1,1,0,Low
33,15750181,Sanderson,553,Germany,Male,41,9,81898.81,110112.54,2,0,0,0,Medium
34,15659428,Maggard,520,Spain,Female,42,6,34410.55,0.0,2,1,1,0,Medium
35,15732963,Clements,722,Spain,Female,29,9,142033.07,0.0,2,1,1,0,Medium
36,15794171,Lombardo,475,France,Female,45,0,27822.99,134264.04,1,0,0,1,Low
37,15788448,Watson,490,Spain,Male,31,3,114066.77,145260.23,1,1,1,0,Low
38,15729599,Lorenzo,804,Spain,Male,33,7,98453.45,76548.6,1,1,1,0,Low
39,15717426,Armstrong,850,France,Male,36,7,40812.9,0.0,1,1,1,0,Low
40,15585768,Cameron,582,Germany,Male,41,6,178074.04,70349.48,2,1,1,0,Medium
41,15619360,Hsiao,472,Spain,Male,40,4,70154.22,0.0,1,0,0,0,Low
42,15738148,Clarke,465,France,Female,51,8,181297.65,122522.32,1,0,0,1,Low
43,15687946,Osborne,556,France,Female,61,2,94153.83,117419.35,1,1,1,0,Low
44,15755196,Lavine,834,France,Female,49,2,194365.76,131394.56,1,0,0,1,Low
45,15684171,Bianchi,660,Spain,Female,61,5,158338.39,155931.11,1,1,1,0,Low
46,15754849,Tyler,776,Germany,Female,32,4,126517.46,109421.13,2,1,1,0,Medium
47,15602280,Martin,829,Germany,Female,27,9,119708.21,112045.67,1,1,1,1,Low
48,15771573,Okagbue,637,Germany,Female,39,9,117622.8,137843.8,1,1,1,1,Low
49,15766205,Yin,550,Germany,Male,38,2,90878.13,103391.38,1,1,1,0,Low
50,15771873,Buccho,776,Germany,Female,37,2,194099.12,103769.22,2,0,0,0,Medium
51,15616550,Chidiebele,698,Germany,Male,44,10,198059.16,116363.37,2,0,0,0,Medium
52,15768193,Trevisani,585,Germany,Male,36,5,86424.57,146050.97,2,0,0,0,Medium
53,15683553,O'Brien,788,France,Female,33,5,116978.19,0.0,2,0,0,0,Medium
54,15702298,Parkhill,655,Germany,Male,41,8,164040.94,125561.97,1,0,0,1,Low
55,15569590,Yoo,601,Germany,Male,42,1,40014.76,98495.72,1,0,0,1,Low
56,15760861,Phillipps,619,France,Male,43,1,113410.49,125211.92,1,1,1,0,Low
57,15630053,Tsao,656,France,Male,45,5,87107.57,127864.4,1,0,0,0,Low
58,15647091,Endrizzi,725,Germany,Male,19,0,45613.75,75888.2,1,0,0,0,Low
59,15623944,T'Ien,511,Spain,Female,66,4,1643.11,0.0,1,0,0,1,Low
60,15804771,Velazquez,614,France,Male,51,4,46775.28,40685.92,1,1,1,0,Low
61,15651280,Hunter,742,Germany,Male,35,5,84509.57,136857.0,1,0,0,0,Low
62,15773469,Clark,687,Germany,Female,27,9,126494.82,152328.88,2,0,0,0,Medium
63,15702014,Jeffrey,555,Spain,Male,33,1,178798.13,56084.69,2,0,0,0,Medium
64,15751208,Pirozzi,684,Spain,Male,56,8,99398.36,78707.16,1,1,1,0,Low
65,15592461,Jackson,603,Germany,Male,26,4,92840.67,109166.37,1,1,1,0,Low
66,15789484,Hammond,751,Germany,Female,36,6,27758.36,169831.46,2,1,1,0,Medium
67,15696061,Brownless,581,Germany,Female,34,1,110431.51,101633.04,1,0,0,0,Low
68,15641582,Chibugo,735,Germany,Male,43,10,196673.28,123180.01,2,1,1,0,Medium
69,15638424,Glauert,661,Germany,Female,35,5,113656.85,150725.53,2,1,1,0,Medium
70,15755648,Pisano,675,France,Female,21,8,18203.0,98373.26,1,0,0,0,Low
71,15703793,Konovalova,738,Germany,Male,58,2,28373.86,133745.44,4,0,0,1,High
